region,county,subcounty,constituency,school,principal,phone,alt_phone,email,type,students,location,priority
Central,Kiambu,Kikuyu,Kikuyu,Alliance High School,—,0733141290,0202015026,info@alliancehighschool.ac.ke,Boys Boarding (National),800+,"P.O. Box 7-00902, Kikuyu",HIGH
Central,Kiambu,Kikuyu,Kikuyu,Alliance Girls High School,—,0110417474,,info@alliancegirlshigh.sc.ke,Girls Boarding (National),700+,"P.O. Box 109-00902, Kikuyu",HIGH
Central,Kiambu,Kikuyu,Kikuyu,Damacrest Schools,—,0780317744,0724539337,info@damacrestschools.sc.ke,Mixed Day & Boarding,1000+,Kikuyu/Thogoto,HIGH
Central,Kiambu,Kikuyu,Kikuyu,Kikuyu Township Secondary,—,0721698164,0202010930,kikuyutownshipsec@gmail.com,Mixed Day,400+,Kikuyu Town,HIGH
Central,Kiambu,Kikuyu,Kikuyu,Springhill School Kenya,—,0787593000,,—,Mixed Day,300+,"Behind Kikuyu Gas Depot, Kikuyu/Dagoretti Rd, Karuri",HIGH
Central,Kiambu,Kikuyu,Kikuyu,Muhu Secondary School,J.K. Mwangi,0722633492,,Muhusecondary@gmail.com,Mixed Day,300+,Kikuyu Sub-County,HIGH
Central,Kiambu,Kikuyu,Kikuyu,Muguga School,—,0723449739,0202014664,muguga@shulebora.com,Mixed Day,400+,"P.O. Box 111, Kikuyu 00902",MEDIUM
Central,Kiambu,Kikuyu,Kikuyu,Skyline School,—,0719363294,0700345457,info@skylineschool.sc.ke,Mixed Day,300+,"Along Ondiri-Kamangu Road, 4km from Kikuyu Town",MEDIUM
Central,Kiambu,Kikuyu,Kikuyu,Muguku Tumaini Schools,—,0715094000,,info@mugukutumainischool.com,Mixed Day & Boarding,600+,"P.O. Box 1190, Limuru 00217",HIGH
Central,Kiambu,Kikuyu,Kikuyu,Tumaini High School,—,0722895234,0202132015,tumainihighschool@gmail.com,Mixed Day & Boarding,500+,"Red Hill, Limuru Road",HIGH
Central,Kiambu,Kikuyu,Kikuyu,Banana Hill High School,—,0202059797,,bristarghs@yahoo.com,Mixed Day,300+,"Banana Hill, Kiambu",MEDIUM
Central,Kiambu,Kikuyu,Kikuyu,St. Thomas School - Tigoni,—,02023072000,,admin@stthomasschool.ac.ke,Mixed Day & Boarding,500+,"Tigoni, Limuru",MEDIUM
Central,Kiambu,Kikuyu,Kikuyu,Comet House Schools,—,—,,—,Mixed Day,200+,Kikuyu,MEDIUM
Central,Kiambu,Kikuyu,Kikuyu,Ubuntu Junior Academy,—,—,,—,Mixed Day,150+,Kikuyu,LOW
Central,Kiambu,Kikuyu,Kikuyu,Woodford Hill School,—,—,,—,Mixed Day,200+,Kikuyu,LOW
Central,Kiambu,Kabete,Kabete,Kabete High School,Kambo Joseph Mwangi,0721530127,0702913273,hkabete@gmail.com,Boys Day,500+,"Kabete, Kiambu County",HIGH
Central,Kiambu,Kabete,Kabete,Moi Girls Kamangu Secondary,—,0704385590,,Moigirlskamangu@gmail.com,Girls Day & Boarding,500+,"Kamangu, Kabete",HIGH
Central,Kiambu,Kabete,Kabete,Rungiri Primary & Junior Secondary,—,0723331574,0112724366,—,Mixed Day,400+,"Gitaru Ward, Kabete",MEDIUM
Central,Kiambu,Kabete,Kabete,Kabete Secondary School,—,0702913273,0701836343,hkabete@gmail.com,Mixed Day,300+,"Kabete, Kiambu County",MEDIUM
Central,Kiambu,Kabete,Kabete,Mugumo-Ini Girls Secondary,—,0202044843,,—,Girls Day,300+,"Limuru Road, near Kabete",MEDIUM
Central,Kiambu,Kiambu Town,Kiambu,M-PESA Foundation Academy,—,0703200000,,info@mpesafoundationacademy.ac.ke,Mixed Boarding,800+,"Thika, Kiambu County",HIGH
Central,Kiambu,Kiambu Town,Kiambu,Merishaw School,—,0721303303,0731303350,enquiries@merishawschools.sc.ke,Mixed Day & Boarding,600+,Isinya-Namanga Road,HIGH
Central,Kiambu,Kiambu Town,Kiambu,Woodcreek School,—,0743299810,0115369871,info@woodcreekschool.sc.ke,Mixed Day,400+,Kiambu County,HIGH
Central,Kiambu,Kiambu Town,Kiambu,Loreto Kiambu High School,—,0202049897,0727425772,info@loretokiambuhigh.ac.ke,Girls Day & Boarding,500+,Kiambaa Constituency,MEDIUM
Central,Kiambu,Kiambu Town,Kiambu,Hekima Girls High School,—,0202300430,,—,Girls Boarding,300+,"P.O. Box 307, Thika",MEDIUM
Central,Kiambu,Kiambu Town,Kiambu,Kalimoni Senior Academy,—,0203189130,,kalimonisenior@yahoo.com,Mixed Day,300+,"P.O. Box 290, Kalimoni",MEDIUM
Central,Kiambu,Kiambu Town,Kiambu,Trikha Girls Secondary,—,0202062480,,—,Girls Day,300+,"P.O. Box 1562, Thika",LOW
Central,Kiambu,Kiambu Town,Kiambu,Wankan Academy,—,0203751991,,—,Mixed Day,200+,"P.O. Box 105, Ruiru",LOW
